ID,Fname,Lname,Email,Password,Country,State,City,Street,Zipcode,Segment
19472,Alma,Conley,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3732 Old Mountain Bank,725.0,Corporate
19471,Yeo,Bird,XXXXXXXXX,XXXXXXXXX,United States,California,Rancho Cordova,6217 Rustic Lake Forest,95670.0,Corporate
19470,Lucy,Mcknight,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1082 Quiet Treasure Link,725.0,Corporate
19469,Simone,Vance,XXXXXXXXX,XXXXXXXXX,United States,Montana,Billings,3176 Round Gate,59102.0,Corporate
19468,Roary,Wheeler,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1426 Fallen Line,725.0,Corporate
19467,Quail,Ashley,XXXXXXXXX,XXXXXXXXX,United States,Pennsylvania,Wilkes Barre,9814 Emerald Prairie Limits,18702.0,Consumer
19466,Hannah,Velez,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8271 Tawny Elk Abbey,725.0,Corporate
19465,Evelyn,Kelly,XXXXXXXXX,XXXXXXXXX,United States,Michigan,Roseville,3931 Gentle Ramp,48066.0,Corporate
19464,Jael,Mcfarland,XXXXXXXXX,XXXXXXXXX,United States,California,Bellflower,9699 Honey Rise,90706.0,Consumer
19463,Teagan,Romero,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1564 Rocky Terrace,725.0,Consumer
19462,Joan,Wilder,XXXXXXXXX,XXXXXXXXX,United States,Illinois,Wheaton,4294 High Passage,60187.0,Consumer
19461,Basia,Watts,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5918 Golden Beacon Freeway,725.0,Consumer
19460,Dominique,Rogers,XXXXXXXXX,XXXXXXXXX,United States,Michigan,Detroit,3915 Broad Lookout,48238.0,Consumer
19459,Ainsley,Mathis,XXXXXXXXX,XXXXXXXXX,United States,Texas,Dallas,7190 Silver Horse Glade,75220.0,Consumer
19458,Aurora,Sharp,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,830 Broad Beacon Maze,725.0,Corporate
19457,Libby,Bray,XXXXXXXXX,XXXXXXXXX,United States,Pennsylvania,Carlisle,6127 Dewy Goose Downs,17013.0,Corporate
19456,Amy,Lindsay,XXXXXXXXX,XXXXXXXXX,United States,Texas,Dallas,1188 Old Abbey,75228.0,Corporate
19455,Ivory,Parks,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7004 Hazy Lake Townline,725.0,Consumer
19454,Karina,Prince,XXXXXXXXX,XXXXXXXXX,United States,Delaware,Newark,2556 Umber Autoroute,19702.0,Consumer
19453,Deanna,Goff,XXXXXXXXX,XXXXXXXXX,United States,California,Panorama City,3722 Thunder Cape,91402.0,Consumer
19452,Dacey,Walters,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2676 Velvet Common,725.0,Home Office
19451,Adele,Pennington,XXXXXXXXX,XXXXXXXXX,United States,Georgia,Atlanta,833 Amber Anchor Glen,30318.0,Home Office
19450,Sybill,Spencer,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,830 Quaking Bear Grounds,725.0,Home Office
19449,Kay,Sandoval,XXXXXXXXX,XXXXXXXXX,United States,California,Fremont,1509 Middle Oak Isle,94539.0,Consumer
19448,Stacy,Mckinney,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9712 Fallen Robin Diversion,725.0,Corporate
19447,Marah,Lara,XXXXXXXXX,XXXXXXXXX,United States,New York,Rochester,8665 Sunny Deer Woods,14609.0,Corporate
19446,Taylor,Wood,XXXXXXXXX,XXXXXXXXX,United States,Texas,Dallas,9879 Harvest Deer Farms,75211.0,Corporate
9083,Mary,Frank,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Bayamon,75 Sunny Grounds,957.0,Home Office
4741,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9731 Honey Fox Towers,725.0,Home Office
639,Elizabeth,Pittman,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7573 Golden Treasure Centre,725.0,Home Office
9702,Katherine,Tyler,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8369 Sunny Crossing,725.0,Home Office
9114,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1425 Fallen Fox Arbor,725.0,Home Office
1362,Dennis,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2290 Crystal Pathway,725.0,Home Office
8011,Mary,Hill,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6179 Noble Panda Moor,725.0,Home Office
3296,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8205 Silver Grove Row,725.0,Home Office
3182,Frances,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7786 Middle Private,725.0,Home Office
7864,Alice,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4294 High Passage,725.0,Home Office
11169,Kyle,Thomas,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5274 Easy Beach,725.0,Home Office
5197,Brenda,Jordan,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4692 Jagged Thicket,725.0,Home Office
1535,Frank,Livingston,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5161 Crystal Quail Jetty,725.0,Home Office
6122,Johnny,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1465 Round Fawn Passage,725.0,Home Office
9451,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5723 Cinder Loop,725.0,Home Office
542,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2991 Silent Deer Landing,725.0,Home Office
11329,Hannah,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5086 Emerald Fox Farms,725.0,Home Office
3570,Mary,Nelson,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3909 Hidden Treasure Beach,725.0,Home Office
650,Austin,Sexton,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4691 Cinder Crest,725.0,Home Office
9353,Michael,Scott,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5703 Tawny Creek Townline,725.0,Home Office
54,Mary,Olson,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7333 Cinder Way,725.0,Home Office
12151,Vincent,Krueger,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9404 Heather Bluff Dale,725.0,Home Office
10018,Gregory,Rodriguez,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1632 Green Fawn Corners,725.0,Home Office
4936,Kyle,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8344 Noble Mountain Gate,725.0,Home Office
8707,Lisa,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7208 Bright Landing,725.0,Home Office
1025,Megan,Todd,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1393 Umber Sky Estates,725.0,Home Office
8831,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8165 Red Lane,725.0,Home Office
10679,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,331 Grand Orchard,725.0,Home Office
5007,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2264 Thunder Abbey,725.0,Home Office
9854,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9082 Merry Lookout,725.0,Home Office
376,Grace,Sanchez,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6468 Fallen Close,725.0,Home Office
5417,Dennis,Meyer,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7342 Hidden Walk,725.0,Home Office
10759,Douglas,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,577 Rustic Nectar Row,725.0,Home Office
8541,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5700 Little Circle,725.0,Home Office
3752,Mary,Vega,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7840 Umber Sky Villas,725.0,Home Office
4673,Wayne,Hodges,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7509 Iron Concession,725.0,Home Office
5367,Mary,Mccormick,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2199 Silver Autumn Key,725.0,Home Office
10485,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9470 Shady View Bend,725.0,Home Office
9272,Ronald,Blackwell,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9366 Silent Nectar Highway,725.0,Home Office
647,Mary,Rios,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4167 Stony Extension,725.0,Consumer
6398,Tammy,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7370 Sleepy Way,725.0,Consumer
4209,Mary,Lara,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1613 Broad Beach,725.0,Consumer
8917,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4992 Jagged Forest Subdivision,725.0,Consumer
7784,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3216 Red Glade,725.0,Consumer
1425,Christina,Harvey,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3481 Crystal Campus,725.0,Consumer
2737,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5424 Rustic Anchor Boulevard,725.0,Consumer
6428,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3567 Heather Knoll,725.0,Consumer
6543,Alexander,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7958 Thunder Apple Street,725.0,Consumer
3990,Sandra,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Guayama,6496 Harvest Highlands,784.0,Consumer
8524,Ruth,Farrell,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1453 Lazy Cider Hill,725.0,Consumer
9204,Mary,Harris,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8713 Quaking Abbey,725.0,Consumer
11761,Lauren,Coleman,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1285 Noble Pointe,725.0,Consumer
9554,Mary,Hayes,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6314 Honey Canyon,725.0,Consumer
5118,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1388 Blue Turnabout,725.0,Consumer
5506,Gregory,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1122 Old Fox Lookout,725.0,Consumer
1423,Mary,Day,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,257 Iron Elk Maze,725.0,Consumer
138,Mary,Dawson,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9544 Noble Spring Route,725.0,Consumer
6360,Mary,Phillips,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7094 Misty Wynd,725.0,Consumer
2053,Ronald,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1025 Colonial Plaza,725.0,Consumer
10344,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Juana Diaz,2839 Grand Timber Canyon,795.0,Consumer
3375,Mary,Sanchez,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6174 Wishing Front,725.0,Consumer
1339,Melissa,Mack,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9447 Dusty Gate Centre,725.0,Consumer
7247,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6401 Shady Embers Farms,725.0,Consumer
1273,Maria,Evans,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,595 Indian Path,725.0,Consumer
6277,Eugene,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1820 Noble Elk Harbour,725.0,Consumer
7701,James,Lawson,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1577 Green Vista,725.0,Consumer
4126,John,Stokes,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9920 Little Lane,725.0,Consumer
9528,Mary,Flores,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3089 Gentle Horse Chase,725.0,Consumer
1853,Mary,Austin,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4090 Colonial End,725.0,Consumer
11149,Roy,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4601 Amber Grove Hollow,725.0,Consumer
5828,Katherine,Oconnell,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2127 Middle Goose Mews,725.0,Consumer
6887,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8840 Harvest Towers,725.0,Consumer
4781,Janet,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8617 Cinder Mountain Forest,725.0,Consumer
10668,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5087 Crystal Hills Manor,725.0,Consumer
5421,Mary,Carlson,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1548 Lazy Place,725.0,Consumer
10200,Nicole,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9009 Merry Nectar Heights,725.0,Consumer
11254,Sharon,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4316 Misty Way,725.0,Consumer
11106,Mary,Navarro,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6324 Lazy Lane,725.0,Consumer
8456,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9198 Rocky Run,725.0,Consumer
6149,Matthew,Bush,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5736 Heather Byway,725.0,Consumer
1473,Anthony,Young,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7334 Umber Expressway,725.0,Consumer
1840,Jerry,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,427 Grand Branch Hill,725.0,Consumer
6757,Mary,Freeman,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2035 Lazy Diversion,725.0,Consumer
3972,Laura,Bennett,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4520 Grand Port,725.0,Consumer
9316,Megan,Sanders,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7489 Green End,725.0,Consumer
11213,Mary,Black,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,620 Thunder Creek Towers,725.0,Consumer
3474,Jack,Hatfield,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,555 Lazy Robin Freeway,725.0,Consumer
14630,Kirestin,Barr,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4722 Round Embers Falls,725.0,Consumer
13256,Nora,Downs,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1836 Cozy View Orchard,725.0,Consumer
14665,Jennifer,Stokes,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5257 Umber Field,725.0,Consumer
13363,Madonna,Ingram,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9079 Dewy Deer Harbour,725.0,Consumer
14645,Noelani,Hyde,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1284 High Apple Highlands,725.0,Consumer
13163,Sydnee,Nolan,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9816 Grand Hills Knoll,725.0,Consumer
14553,Willa,Potter,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5301 Blue Street,725.0,Consumer
14287,Alma,Delgado,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7274 Middle Wynd,725.0,Consumer
13179,Ila,Knight,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,2668 Velvet Row ,725.0,Consumer
13035,Belle,Booker,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,567 Fallen Pines ,725.0,Consumer
14322,Alyssa,Contreras,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9870 Little Hickory Loop,725.0,Consumer
13196,Lani,Nash,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5763 Green Crossing ,725.0,Consumer
14604,Demetria,Jarvis,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4854 Tawny Cove,725.0,Consumer
12961,Joan,Nixon,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8297 Golden Green ,725.0,Consumer
14676,Gay,Harper,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,7293 Lazy Hill,725.0,Consumer
14087,Audrey,Acosta,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8967 Sleepy Lane,725.0,Consumer
13194,Riley,Jones,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6370 Emerald Row ,725.0,Consumer
14513,Imani,Kelly,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3065 Foggy Horse Port,725.0,Consumer
13461,Mechelle,Parker,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,1393 Umber Sky Estates,725.0,Consumer
14510,Imani,Castaneda,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5493 Burning Horse Heath,725.0,Consumer
13190,Whitney,Henderson,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,529 Blue Grove Rise,725.0,Consumer
14508,Roanna,Martin,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4462 Little Lagoon Route,725.0,Consumer
14472,Vivian,Hays,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9854 Jagged Impasse,725.0,Consumer
14562,Xantha,Brock,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,5336 Sleepy Sky Common,725.0,Consumer
13206,Zia,Davis,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3836 Blue Brook Stead,725.0,Consumer
13080,Mara,Duffy,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4896 Honey Wood ,725.0,Consumer
14633,Sloane,Long,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4592 Grand Timber Ramp,725.0,Consumer
14097,Winifred,Alexander,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,146 Middle Terrace,725.0,Consumer
13024,Giselle,Farrell,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,3710 Little Nook ,725.0,Consumer
778,John,Buckley,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9598 Cinder Close,725.0,Consumer
7146,Nancy,Curry,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6998 Old Treasure Crossing,725.0,Consumer
6365,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,100 Jagged Cloud Pathway,725.0,Consumer
8422,Wayne,Crawford,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,8110 Old Place,725.0,Consumer
3784,Mary,Sharp,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,9221 Cotton Butterfly Terrace,725.0,Consumer
10519,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4110 Quaking Abbey,725.0,Consumer
7132,David,Guerra,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,6574 Shady Horse Wood,725.0,Consumer
3709,Mary,Padilla,XXXXXXXXX,XXXXXXXXX,United States,Puerto Rico,Caguas,4555 Amber Apple Cape,725.0,Consumer
1509,Patricia,Petersen,XXXXXXXXX,XXXXXXXXX,United States,New York,Freeport,3675 Emerald Goose Bank,11520.0,Consumer
1636,Julie,Petersen,XXXXXXXXX,XXXXXXXXX,United States,Maryland,Fort Washington,9375 Harvest Circuit,20744.0,Consumer
2784,Lisa,Smith,XXXXXXXXX,XXXXXXXXX,United States,California,Bakersfield,3993 Thunder Hills Port,93304.0,Consumer
9174,Tyler,Smith,XXXXXXXXX,XXXXXXXXX,United States,New York,Corona,9414 Thunder Island Court,11368.0,Consumer
122,Karen,Smith,XXXXXXXXX,XXXXXXXXX,United States,Ohio,Cincinnati,7573 Cozy Goose Road,45238.0,Consumer
3800,Shawn,Smith,XXXXXXXXX,XXXXXXXXX,United States,Maryland,Germantown,5985 Silent Leaf Vale,20874.0,Consumer
10029,Mary,Silva,XXXXXXXXX,XXXXXXXXX,United States,Texas,Carrollton,1230 Crystal Lookout,75006.0,Consumer
2805,Willie,Smith,XXXXXXXXX,XXXXXXXXX,United States,Texas,Houston,6350 Lost Hollow,77093.0,Consumer
12253,Mary,Chan,XXXXXXXXX,XXXXXXXXX,United States,Pennsylvania,Carlisle,4898 Red Butterfly Autoroute,17013.0,Consumer
3528,Nicole,Brooks,XXXXXXXXX,XXXXXXXXX,United States,California,Los Angeles,7312 Crystal Willow Villas,90023.0,Consumer
11018,Bruce,Smith,XXXXXXXXX,XXXXXXXXX,United States,Hawaii,Ewa Beach,9595 Blue Promenade,96706.0,Consumer
3222,Mary,Williams,XXXXXXXXX,XXXXXXXXX,United States,New Jersey,Lakewood,1790 Noble Brook Run,8701.0,Consumer
6246,Melissa,Ramirez,XXXXXXXXX,XXXXXXXXX,United States,New York,Rome,2459 Round Spring Towers,13440.0,Consumer
8741,Gregory,Smith,XXXXXXXXX,XXXXXXXXX,United States,California,Vista,690 Colonial Pine Passage,92083.0,Consumer
8050,Elizabeth,Smith,XXXXXXXXX,XXXXXXXXX,United States,Texas,Fort Worth,739 Jagged Goose Street,76106.0,Consumer
5474,Mary,Sanchez,XXXXXXXXX,XXXXXXXXX,United States,Wisconsin,Fond Du Lac,29 Gentle Spring Mews,54935.0,Consumer
474,Mary,Patton,XXXXXXXXX,XXXXXXXXX,United States,Pennsylvania,Philadelphia,5532 Tawny Pines,19139.0,Consumer
12255,Mary,Davis,XXXXXXXXX,XXXXXXXXX,United States,California,Ontario,4502 Hazy Run,91764.0,Consumer
10288,Mark,Smith,XXXXXXXXX,XXXXXXXXX,United States,Florida,Oviedo,6026 Stony Elk Hill,32765.0,Consumer
4717,Mary,Sanders,XXXXXXXXX,XXXXXXXXX,United States,New York,Buffalo,4903 Lazy Parkway,14221.0,Consumer
4799,Paul,Jensen,XXXXXXXXX,XXXXXXXXX,United States,Hawaii,Honolulu,3902 Foggy Swale,96822.0,Consumer
4533,Walter,Chavez,XXXXXXXXX,XXXXXXXXX,United States,California,Oceanside,990 Dewy Crest,92056.0,Consumer
12383,Joyce,Phillips,XXXXXXXXX,XXXXXXXXX,United States,New York,North Tonawanda,9899 Hazy Falls,14120.0,Consumer
3518,Daniel,Smith,XXXXXXXXX,XXXXXXXXX,United States,California,Clovis,7449 Merry Chase,93611.0,Consumer
4674,Mary,Lynn,XXXXXXXXX,XXXXXXXXX,United States,New York,Jamaica,7694 Velvet Turnabout,11434.0,Consumer
8519,Pamela,Michael,XXXXXXXXX,XXXXXXXXX,United States,Illinois,Granite City,1585 Stony Rabbit Hollow,62040.0,Consumer
5302,Betty,Smith,XXXXXXXXX,XXXXXXXXX,United States,Massachusetts,Medford,2289 Cozy Promenade,2155.0,Consumer
3594,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,California,Pomona,830 Clear Sky Vale,91766.0,Consumer
9890,Christian,Luna,XXXXXXXXX,XXXXXXXXX,United States,Arizona,Tempe,2833 Clear Valley,85281.0,Consumer
1410,Mary,Smith,XXXXXXXXX,XXXXXXXXX,United States,California,Santa Ana,4682 Cozy Freeway,92703.0,Consumer
7521,Mary,Ortega,XXXXXXXXX,XXXXXXXXX,United States,Pennsylvania,York,4196 Noble Beacon Mews,17402.0,Consumer
